specno	time	lat	long	relaz	sza	no2zendscd	no2offdscd	o4zen	o4off	rmszen	amf120	amf180	sig120	sig180	RAMF	RGA	VCBira	VCWagAMF	VCWagGA	errTot
34 	1.354028e+01 	5.087891e+01 	4.279368e+00 	1.694601e+02 	5.452817e+01 	-9979900000000000 	-5969375152635165 	2.618400e+41 	1.295741e+43 	3.973300e-04 	2.788233e+00 	1.409551e+00 	2.359187e-01 	1.401042e-01 	13567030305687792 	12631309390985496 	2506285595600290 	2544873737151861 	2651409390985496 	674990824206272 
35 	1.354889e+01 	5.087936e+01 	4.280172e+00 	1.680222e+02 	5.457683e+01 	-9625500000000000 	-6050218529175843 	4.728500e+41 	1.154781e+43 	3.943400e-04 	2.789141e+00 	1.410072e+00 	2.360713e-01 	1.402791e-01 	13542526411484312 	12603559038792568 	2753072568480072 	2777890885537560 	2978059038792568 	6.669929e+14 
36 	1.355750e+01 	5.087956e+01 	4.280519e+00 	1.698492e+02 	5.462547e+01 	-10155000000000000 	-5867015729523962 	1.576300e+41 	1.306151e+43 	4.127700e-04 	2.787416e+00 	1.410592e+00 	2.358032e-01 	1.404539e-01 	13518022517280840 	12575808686599648 	2350358429764249 	2384120538129689 	2420808686599648 	6.936329e+14 
37 	1.356611e+01 	5.088046e+01 	4.282060e+00 	1.693914e+02 	5.467639e+01 	-8268200000000000 	-3.452836e+15 	6.431200e+41 	1.282153e+43 	3.705400e-04 	2.787524e+00 	1.411137e+00 	2.358284e-01 	1.406370e-01 	13493518623077360 	12548058334406720 	3678327612816194 	3702912731115816 	4279858334406720 	6.312026e+14 
38 	1.357472e+01 	5.088092e+01 	4.282805e+00 	1.713314e+02 	5.472557e+01 	-8906400000000000 	-2803798132124902 	7.500700e+41 	1.340728e+43 	3.917000e-04 	2.785690e+00 	1.411664e+00 	2.355418e-01 	1.408137e-01 	13469014728873880 	12520307982213792 	3200822861510980 	3.232084e+15 	3613907982213792 	6.571057e+14 
39 	1.358333e+01 	5.088138e+01 	4.283507e+00 	1.729582e+02 	5.477491e+01 	-7993800000000000 	-3898418165170476 	4.316300e+41 	1.288800e+43 	3.860700e-04 	2.784100e+00 	1.412192e+00 	2.352936e-01 	1.409910e-01 	13444510834670400 	12492557630020864 	3.823603e+15 	3.859753e+15 	4498757630020864 	6.450499e+14 
40 	1.359194e+01 	5.088251e+01 	4.285092e+00 	1.757139e+02 	5.482495e+01 	-10111000000000000 	-6316928920540742 	3.318800e+41 	1.182693e+43 	3.884100e-04 	2.781572e+00 	1.412727e+00 	2.348936e-01 	1.411709e-01 	13420006940466920 	12464807277827936 	2320618252207096 	2.342283e+15 	2353807277827936 	6.751402e+14 
41 	1.360056e+01 	5.088403e+01 	4.287032e+00 	1.784347e+02 	5.487705e+01 	-9048300000000000 	-4986067004330639 	4.086400e+41 	1.204058e+43 	3.781100e-04 	2.779045e+00 	1.413284e+00 	2.344929e-01 	1.413581e-01 	13395500200613208 	12437053702971888 	3061422280612508 	3075955573506163 	3388753702971888 	6.484762e+14 
42 	1.360917e+01 	5.088559e+01 	4.289054e+00 	1.781841e+02 	5.492776e+01 	-8124100000000000 	-3.310873e+15 	3.743100e+41 	1.262897e+43 	3.972900e-04 	2.778965e+00 	1.413827e+00 	2.344862e-01 	1.415404e-01 	13370996306409728 	12409303350778960 	3.695162e+15 	3711130249984239 	4285203350778960 	6.570537e+14 
43 	1.361778e+01 	5.088860e+01 	4.293059e+00 	1.775502e+02 	5.498138e+01 	-6869800000000000 	-1.399021e+15 	4.155400e+41 	1.268034e+43 	3.895700e-04 	2.779188e+00 	1.414401e+00 	2.345290e-01 	1.417331e-01 	13346492412206248 	12381552998586032 	4567922946383941 	4579107009054528 	5511752998586032 	6.478741e+14 
