specno	time	lat	long	relaz	sza	no2zendscd	no2offdscd	o4zen	o4off	rmszen	amf120	amf180	sig120	sig180	RAMF	RGA	VCBira	VCWagAMF	VCWagGA	errTot
40 	9.491944e+00 	5.082427e+01 	4.280683e+00 	1.665092e+02 	5.599644e+01 	-9495200000000000 	-1895532868822990 	2.911900e+42 	1.234161e+43 	4.862600e-04 	2.783271e+00 	1.425262e+00 	2.353718e-01 	1.453812e-01 	16025795783814642 	14467982590093972 	4406849623055262 	4582032044868836 	4972782590093972 	915360129890121 
41 	9.500556e+00 	5.082972e+01 	4.280944e+00 	1.389579e+02 	5.594888e+01 	-8160600000000000 	-1.197212e+15 	2.152400e+42 	1.434590e+43 	5.006700e-04 	2.782410e+00 	1.424753e+00 	2.322753e-01 	1.452103e-01 	16029495823809138 	14475102711454924 	5358828862306846 	5522989330255376 	6314502711454924 	9.081326e+14 
42 	9.509167e+00 	5.083554e+01 	4.282272e+00 	1.326436e+02 	5.590179e+01 	-10498000000000000 	-4577624530523069 	2.456600e+42 	1.285280e+43 	4.823500e-04 	2.773341e+00 	1.424249e+00 	2.290448e-01 	1.450410e-01 	16033195434165920 	14482222006048416 	3799578940616207 	3.886395e+15 	3984222006048416 	9.327453e+14 
43 	9.517778e+00 	5.084272e+01 	4.282889e+00 	1.378757e+02 	5.585594e+01 	-8867400000000000 	-1.957798e+15 	2.834400e+42 	1.220740e+43 	5.010700e-04 	2.780844e+00 	1.423759e+00 	2.316710e-01 	1.448762e-01 	16036895044522704 	14489341300641910 	5006947623997220 	5035611705202397 	5621941300641910 	9.219841e+14 
44 	9.526389e+00 	5.084952e+01 	4.276660e+00 	1.711761e+02 	5.581161e+01 	-8102700000000000 	-3.229524e+15 	3.125500e+42 	1.590779e+43 	4.879300e-04 	2.780108e+00 	1.423284e+00 	2.348091e-01 	1.447169e-01 	16040594654879484 	14496460595235404 	5544841620623603 	5577167584868826 	6393760595235404 	9.004714e+14 
45 	9.535000e+00 	5.085761e+01 	4.272306e+00 	1.600288e+02 	5.576846e+01 	-9023400000000000 	-5940516195480594 	2.932400e+42 	1.096481e+43 	4.769500e-04 	2.790067e+00 	1.422823e+00 	2.364546e-01 	1.445619e-01 	16044294265236268 	14503579889828896 	4899435732104755 	4934483393593169 	5480179889828896 	8.992546e+14 
46 	9.543611e+00 	5.086618e+01 	4.270317e+00 	1.497424e+02 	5.572587e+01 	-9404500000000000 	-5108151027327296 	3.163500e+42 	1.079289e+43 	4.789000e-04 	2.798609e+00 	1.422367e+00 	2.377907e-01 	1.444088e-01 	16047993875593048 	14510699184422388 	4639972034765011 	4670731933186143 	5106199184422388 	9.050706e+14 
47 	9.552222e+00 	5.087388e+01 	4.271665e+00 	1.352529e+02 	5.567949e+01 	-9946200000000000 	-3855345468043727 	2.294300e+42 	6.775169e+42 	4.814300e-04 	2.776808e+00 	1.421871e+00 	2.301766e-01 	1.442421e-01 	16051693485949832 	14517818479015880 	4257961407845953 	4.293987e+15 	4571618479015880 	913706201549479 
48 	9.560833e+00 	5.087981e+01 	4.280838e+00 	9.740471e+01 	5.563029e+01 	-10535000000000000 	-8.752887e+14 	2.629100e+42 	5.098725e+42 	4.822200e-04 	3.047144e+00 	1.421344e+00 	3.081451e-01 	1.440653e-01 	16055393096306614 	14524937773609374 	3855643232936029 	3883924320945843 	3989937773609374 	9.236111e+14 
49 	9.569444e+00 	5.088601e+01 	4.289609e+00 	1.001194e+02 	5.558151e+01 	-7683000000000000 	3107426999828297 	2.848400e+42 	6.541215e+42 	4.649100e-04 	3.010902e+00 	1.420822e+00 	2.974638e-01 	1.438900e-01 	16059092706663396 	14532057068202866 	5886612061915338 	5895243540732797 	6849057068202866 	8.722115e+14 
50 	9.578056e+00 	5.089078e+01 	4.297805e+00 	9.471566e+01 	5.553180e+01 	-9220600000000000 	-7.845169e+14 	1.960000e+42 	1.111752e+43 	4.746300e-04 	3.079874e+00 	1.420290e+00 	3.175895e-01 	1.437113e-01 	16062792746657892 	14539177189563818 	4774719442507950 	4817460685060070 	5318577189563818 	892947079903197 
51 	9.586667e+00 	5.089364e+01 	4.308676e+00 	7.486247e+01 	5.548079e+01 	-8914700000000000 	-8.533569e+14 	1.841100e+42 	1.140294e+43 	4.720300e-04 	2.790861e+00 	1.419744e+00 	2.338643e-01 	1.435280e-01 	16066492357014674 	14546296484157312 	4957151425244610 	5037379917352478 	5631596484157312 	885153154900329 
52 	9.595278e+00 	5.089690e+01 	4.319350e+00 	7.819480e+01 	5.542868e+01 	-7657800000000000 	6.883133e+14 	2.404400e+42 	1.013670e+43 	4.654100e-04 	2.866681e+00 	1.419187e+00 	2.557827e-01 	1.433407e-01 	16070191967371456 	14553415778750804 	5848864560066067 	5927613801911726 	6895615778750804 	8.681845e+14 
53 	9.603889e+00 	5.090358e+01 	4.328187e+00 	1.026455e+02 	5.538109e+01 	-5525700000000000 	3687073116999025 	2.081100e+42 	9.126578e+42 	5.282400e-04 	2.974582e+00 	1.418678e+00 	2.866068e-01 	1.431696e-01 	16073891577728238 	14560535073344296 	7378565210937957 	7435227784881419 	9034835073344296 	9.254402e+14 
54 	9.612500e+00 	5.090967e+01 	4.337220e+00 	9.958339e+01 	5.533324e+01 	-4872200000000000 	3837029494135677 	1.957200e+42 	1.170271e+43 	5.003100e-04 	3.012980e+00 	1.418166e+00 	2.977607e-01 	1.429977e-01 	16077591188085020 	14567654367937788 	7843067287546514 	7901327415739713 	9695454367937788 	9.068368e+14 
55 	9.621111e+00 	5.091568e+01 	4.348307e+00 	9.350130e+01 	5.528394e+01 	-8289200000000000 	5.842207e+14 	2.591100e+42 	6.528710e+42 	4.694400e-04 	3.089773e+00 	1.417638e+00 	3.200960e-01 	1.428205e-01 	16081290798441802 	14574773662531282 	5335120190894193 	5496530135904168 	6285573662531282 	8.676472e+14 
56 	9.629722e+00 	5.091785e+01 	4.361075e+00 	6.804873e+01 	5.523179e+01 	-8468900000000000 	-3103899111826470 	2.428700e+42 	7.700270e+42 	4.576400e-04 	2.630956e+00 	1.417080e+00 	1.873096e-01 	1.426331e-01 	16084990408798584 	14581892957124772 	5216856169902517 	5374495108952025 	6112992957124772 	8.584098e+14 
57 	9.638333e+00 	5.091642e+01 	4.373878e+00 	4.314424e+01 	5.517698e+01 	-9663300000000000 	-4101000354764979 	2.398000e+42 	6.138512e+42 	4.535400e-04 	2.324238e+00 	1.416494e+00 	1.008209e-01 	1.424361e-01 	16088690019155364 	14589012251718266 	4348393598329418 	4536123441147091 	4925712251718266 	8.669859e+14 
58 	9.646944e+00 	5.091356e+01 	4.386295e+00 	3.317758e+01 	5.512120e+01 	-8107100000000000 	-2564686608629857 	3.667700e+42 	6.897670e+42 	4.677000e-04 	2.251636e+00 	1.415897e+00 	8.114361e-02 	1.422356e-01 	16092389629512148 	14596131546311758 	5452067414818226 	5639739877442636 	6489031546311758 	8.594300e+14 
59 	9.655556e+00 	5.091155e+01 	4.398351e+00 	3.869906e+01 	5.506630e+01 	-8286600000000000 	-1.857111e+15 	2.683800e+42 	9.731748e+42 	4.764800e-04 	2.291310e+00 	1.415309e+00 	9.184856e-02 	1.420383e-01 	16096089669506644 	14603251667672712 	5325273511984150 	5517867285559208 	6316651667672712 	8.650767e+14 
60 	9.664167e+00 	5.091293e+01 	4.410069e+00 	6.414947e+01 	5.501432e+01 	-9304800000000000 	1.578382e+14 	1.286600e+42 	7.576989e+42 	4.551900e-04 	2.539715e+00 	1.414753e+00 	1.607764e-01 	1.418515e-01 	16099789279863426 	14610370962266204 	4533450437802680 	4802950163463886 	5305570962266204 	8.506977e+14 
61 	9.672778e+00 	5.091349e+01 	4.420835e+00 	5.856279e+01 	5.496345e+01 	-9522200000000000 	-1.364009e+15 	2.012400e+42 	7.447335e+42 	4.676700e-04 	2.434591e+00 	1.414209e+00 	1.305716e-01 	1.416686e-01 	16103488890220208 	14617490256859696 	4.331411e+15 	4653689366545366 	5095290256859696 	8.600656e+14 
62 	9.681389e+00 	5.090915e+01 	4.429145e+00 	1.423854e+01 	5.490879e+01 	-1824300000000000 	8.893705e+14 	4.150500e+42 	6.716708e+42 	4.720800e-04 	2.158099e+00 	1.413624e+00 	5.680298e-02 	1.414722e-01 	16107188500576990 	14624609551453188 	9767061886330376 	10103738788213004 	12800309551453188 	9.226901e+14 
63 	9.690000e+00 	5.090236e+01 	4.433986e+00 	1.169978e+01 	5.485234e+01 	-1907700000000000 	3142750472654691 	3.429900e+42 	5.986081e+42 	4.746700e-04 	2.146630e+00 	1.413020e+00 	5.385630e-02 	1.412693e-01 	16110888110933772 	14631728846046680 	9725200643240736 	10051653712594960 	12724028846046680 	9.224679e+14 
64 	9.698611e+00 	5.089745e+01 	4.443655e+00 	1.542225e+01 	5.479758e+01 	-7204800000000000 	5221889841407089 	2.168500e+42 	5.370579e+42 	4.566600e-04 	2.162644e+00 	1.412434e+00 	5.790626e-02 	1.410725e-01 	16114587721290554 	14638848140640174 	6009493449084900 	6308108401981277 	7434048140640174 	8.274456e+14 
65 	9.707222e+00 	5.089314e+01 	4.452305e+00 	1.602841e+01 	5.474348e+01 	-2469300000000000 	4792094080367234 	3.399800e+42 	6.412789e+42 	4.595000e-04 	2.164986e+00 	1.411855e+00 	5.847488e-02 	1.408781e-01 	16118287331647336 	14645967435233666 	9354891262221956 	9667412692306664 	12176667435233666 	8.940616e+14 
66 	9.715833e+00 	5.088666e+01 	4.458573e+00 	4.042314e+00 	5.468933e+01 	-1367500000000000 	4362298319327379 	2.189200e+42 	7.454999e+42 	4.792300e-04 	2.112119e+00 	1.411276e+00 	4.501567e-02 	1.406834e-01 	16121986942004118 	14653086729827160 	10142913879990904 	10454715480492408 	13285586729827160 	9.418379e+14 
67 	9.724444e+00 	5.087944e+01 	4.461621e+00 	2.040095e+01 	5.463472e+01 	-3651200000000000 	3932502558287524 	2.505400e+42 	8.497208e+42 	4.575800e-04 	2.183511e+00 	1.410692e+00 	6.312381e-02 	1.404872e-01 	16125686552360900 	14660206024420652 	8543182506852511 	8842816546719879 	11009006024420652 	863016594387367 
68 	9.733056e+00 	5.087340e+01 	4.465783e+00 	1.165891e+01 	5.458125e+01 	-2282800000000000 	3502656884837877 	1.929700e+42 	9.539539e+42 	4.572700e-04 	2.144888e+00 	1.410119e+00 	5.329361e-02 	1.402950e-01 	16129386592355396 	14667326145781604 	9532100474982826 	9819442908812906 	12384526145781604 	897002716243117 
